Tipo;Recuento
Desktop;171
Web;169
App;141
ePub;66
Broadcasting;24
Server;23
Social Media;19
Corporate;14
Logotype;14
Video;12
Digital Ads;11
Non Commercial;11
Third Party;2
OEM;1
