Measuring unit
Use Case
Use Case
Number of Users
Use Case
Number of Employees
Workstations
Workstations
Number of Employees
Number of Employees
Number of Users
Downloads
Number of Employees
Downloads
Use Case
Number of Years
Use Case
Workstations
Use Case
Use Case
Downloads
Use Case
Use Case
Number of Employees
Monthly Users
Downloads
Use Case
Use Case
Use Case
Number of Employees
Monthly Users, Number of Years
Use Case
Use Case
Number of Employees
Number of Users
Use Case
Use Case
Use Case
Number of Employees
Use Case
Use Case
Downloads
Number of Employees
Downloads
Number of Users
Monthly Users
Use Case
Number of Users
Number of Employees
Use Case
Use Case
Monthly Users
Number of Employees
Number of Users
Monthly Users
Downloads
Workstations
Downloads
Number of Years
Number of Employees
Downloads
Use Case
Use Case
Use Case
Use Case, Downloads 
Number of Employees
Downloads, Monthly Users
Use Case
Use Case
Use Case, Number of Users 
Use Case
Downloads
Use Case
Use Case
Number of Employees
Use Case
Downloads
Use Case
Number of Users
Number of Users
Number of Employees
Number of Employees
Use Case
Use Case
Downloads
Use Case
Use Case
Use Case
Number of Users
Number of Years
Number of Employees
Number of Employees
Use Case
Monthly Users
Use Case
Downloads
Use Case
Use Case
Use Case
Use Case, Number of Years
Use Case
Number of Years
Use Case
Monthly Users
Number of Years
Use Case
Monthly Users
Number of Users
Use Case
Use Case
Monthly Users
Use Case
Use Case
Number of Employees
Use Case
Workstations
Use Case, Downloads 
Use Case
Use Case
Use Case
Use Case
Downloads
Use Case
Operating Systems
Number of Employees
Use Case
Use Case
Use Case
Number of Employees
Downloads
Use Case
Use Case
Use Case
Use Case
Monthly Users
Use Case, Number of Years 
Use Case
Use Case
Use Case
Number of Employees
Use Case
Use Case
