Limit,Count,Unit of measure,Tags
3,26,Workstations,Desktop
5,33,Workstations,Desktop
10,34,Workstations,Desktop
20,20,Workstations,Desktop
25,24,Workstations,Desktop
30,22,Workstations,Desktop
50,34,Workstations,Desktop
100,31,Workstations,Desktop
500,24,Workstations,Desktop
1000,26,Workstations,Desktop
