Limit,Count,Measuring unit,Tags
5000,4,Downloads,App
10000,12,Downloads,App
50000,8,Downloads,App
100000,10,Downloads,App
250000,5,Downloads,App
500000,11,Downloads,App
1000000,14,Downloads,App
2500000,5,Downloads,App
5000000,11,Downloads,App
Unlimited,5,Downloads,App
